text,category
We are exploring potential collaboration in quantum computing.,Academic Collaboration
Can we set up a meeting to discuss joint research?,Academic Collaboration
Can I reschedule my exam?,Student Inquiry
I would like to propose a new academic partnership.,Academic Collaboration
I would like to discuss potential corporate sponsorship.,Corporate Inquiry
Can we set up a meeting to discuss joint research?,Academic Collaboration
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
We are looking forward to collaborating on the AI research project.,Academic Collaboration
What are your rates for corporate training sessions?,Corporate Inquiry
I would like to discuss potential corporate sponsorship.,Corporate Inquiry
How can I apply for the scholarship program?,Student Inquiry
What are your rates for corporate training sessions?,Corporate Inquiry
How can we organize a workshop together?,Academic Collaboration
How can I apply for the scholarship program?,Student Inquiry
We are considering your team for our next product launch.,Corporate Inquiry
I would like to enroll in the Python course.,Student Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
What are your rates for corporate training sessions?,Corporate Inquiry
I would like to propose a new academic partnership.,Academic Collaboration
I would like to propose a new academic partnership.,Academic Collaboration
Please provide the link to the course material.,Student Inquiry
We are interested in sponsoring your event.,Corporate Inquiry
Can you send me the course syllabus?,Student Inquiry
We are considering your team for our next product launch.,Corporate Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
We are looking forward to collaborating on the AI research project.,Academic Collaboration
We are considering your team for our next product launch.,Corporate Inquiry
I would like to enroll in the Python course.,Student Inquiry
What are your rates for corporate training sessions?,Corporate Inquiry
Could you review my research paper on deep learning?,Academic Collaboration
How can we organize a workshop together?,Academic Collaboration
How can I apply for the scholarship program?,Student Inquiry
What are your rates for corporate training sessions?,Corporate Inquiry
We are interested in sponsoring your event.,Corporate Inquiry
Can we set up a meeting to discuss joint research?,Academic Collaboration
Can I reschedule my exam?,Student Inquiry
Could you review my research paper on deep learning?,Academic Collaboration
We are exploring potential collaboration in quantum computing.,Academic Collaboration
Can we set up a meeting to discuss joint research?,Academic Collaboration
We are interested in sponsoring your event.,Corporate Inquiry
Can we set up a meeting to discuss joint research?,Academic Collaboration
How can I apply for the scholarship program?,Student Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
When will the next lecture notes be available?,Student Inquiry
Do you offer corporate webinars?,Corporate Inquiry
How can we organize a workshop together?,Academic Collaboration
Do you offer corporate webinars?,Corporate Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
We are looking forward to collaborating on the AI research project.,Academic Collaboration
I would like to enroll in the Python course.,Student Inquiry
We are looking forward to collaborating on the AI research project.,Academic Collaboration
Do you offer corporate webinars?,Corporate Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
Could you review my research paper on deep learning?,Academic Collaboration
Can we set up a meeting to discuss joint research?,Academic Collaboration
Please provide the link to the course material.,Student Inquiry
Can you send me the course syllabus?,Student Inquiry
What are your rates for corporate training sessions?,Corporate Inquiry
How can I apply for the scholarship program?,Student Inquiry
Can you send me the course syllabus?,Student Inquiry
What are your rates for corporate training sessions?,Corporate Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
I would like to discuss potential corporate sponsorship.,Corporate Inquiry
Can you send me the course syllabus?,Student Inquiry
I would like to enroll in the Python course.,Student Inquiry
Do you offer corporate webinars?,Corporate Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
How can I apply for the scholarship program?,Student Inquiry
I would like to discuss potential corporate sponsorship.,Corporate Inquiry
Can you send me the course syllabus?,Student Inquiry
We are interested in sponsoring your event.,Corporate Inquiry
What are your rates for corporate training sessions?,Corporate Inquiry
We are interested in sponsoring your event.,Corporate Inquiry
Can we set up a meeting to discuss joint research?,Academic Collaboration
Please provide the link to the course material.,Student Inquiry
I would like to enroll in the Python course.,Student Inquiry
Please provide the link to the course material.,Student Inquiry
Could you review my research paper on deep learning?,Academic Collaboration
Can we set up a meeting to discuss joint research?,Academic Collaboration
How can I apply for the scholarship program?,Student Inquiry
Please provide the link to the course material.,Student Inquiry
Do you offer corporate webinars?,Corporate Inquiry
I would like to propose a new academic partnership.,Academic Collaboration
I would like to propose a new academic partnership.,Academic Collaboration
We are considering your team for our next product launch.,Corporate Inquiry
I would like to enroll in the Python course.,Student Inquiry
Can your team provide consulting services for our new AI initiative?,Corporate Inquiry
Can you send me the course syllabus?,Student Inquiry
We are exploring potential collaboration in quantum computing.,Academic Collaboration
How can I apply for the scholarship program?,Student Inquiry
When will the next lecture notes be available?,Student Inquiry
We are considering your team for our next product launch.,Corporate Inquiry
How can we organize a workshop together?,Academic Collaboration
I would like to propose a new academic partnership.,Academic Collaboration
Do you offer corporate webinars?,Corporate Inquiry
I would like to enroll in the Python course.,Student Inquiry
Could you review my research paper on deep learning?,Academic Collaboration
I would like to discuss potential corporate sponsorship.,Corporate Inquiry
